"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2018";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";48
"2018";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";50
"2018";"Državljani RS";"Ženske";"Izobraževanje";78
"2018";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";87
"2018";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";21
"2018";"Državljani RS";"Ženske";"Druge dejavnosti";17
"2018";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";1
"2018";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2019";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";12
"2019";"Državljani RS";"Moški";"Rudarstvo";6
"2019";"Državljani RS";"Moški";"Predelovalne dejavnosti";277
"2019";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";9
"2019";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";13
"2019";"Državljani RS";"Moški";"Gradbeništvo";126
"2019";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";137
"2019";"Državljani RS";"Moški";"Promet in skladišèenje";92
"2019";"Državljani RS";"Moški";"Gostinstvo";79
"2019";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";67
"2019";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";12
"2019";"Državljani RS";"Moški";"Poslovanje z nepremièninami";13
"2019";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";90
"2019";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";78
"2019";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";56
"2019";"Državljani RS";"Moški";"Izobraževanje";47
"2019";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";37
"2019";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";49
"2019";"Državljani RS";"Moški";"Druge dejavnosti";11
"2019";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2019";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2019";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";18
"2019";"Državljani RS";"Ženske";"Rudarstvo";0
"2019";"Državljani RS";"Ženske";"Predelovalne dejavnosti";123
"2019";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";6
"2019";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";3
"2019";"Državljani RS";"Ženske";"Gradbeništvo";31
"2019";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";108
"2019";"Državljani RS";"Ženske";"Promet in skladišèenje";20
"2019";"Državljani RS";"Ženske";"Gostinstvo";68
"2019";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";16
"2019";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";13
"2019";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";5
"2019";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";58
"2019";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";61
"2019";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";51
"2019";"Državljani RS";"Ženske";"Izobraževanje";67
"2019";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";79
"2019";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";20
"2019";"Državljani RS";"Ženske";"Druge dejavnosti";25
"2019";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";2
"2019";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
