"Priseljeni tujci po namenu priselitve in državi državljanstva, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"NAMEN PRISELITVE";Priseljeni tujci
"2013";"Hrvaška";"Sezonsko delo";...
"2013";"Hrvaška";"Združitev z družino";251
"2013";"Hrvaška";"Študij";133
"2013";"Hrvaška";"Drugo";78
"2013";"Hrvaška";"Neznano";16
"2013";"Srbija";"Zaposlitev";805
"2013";"Srbija";"Sezonsko delo";...
"2013";"Srbija";"Združitev z družino";519
"2013";"Srbija";"Študij";49
"2013";"Srbija";"Drugo";22
"2013";"Srbija";"Neznano";19
"2013";"Srbija in Èrna gora";"Zaposlitev";...
"2013";"Srbija in Èrna gora";"Sezonsko delo";...
"2013";"Srbija in Èrna gora";"Združitev z družino";...
"2013";"Srbija in Èrna gora";"Študij";...
"2013";"Srbija in Èrna gora";"Drugo";...
"2013";"Srbija in Èrna gora";"Neznano";...
"2013";"Èrna gora";"Zaposlitev";13
"2013";"Èrna gora";"Sezonsko delo";...
"2013";"Èrna gora";"Združitev z družino";48
"2013";"Èrna gora";"Študij";9
"2013";"Èrna gora";"Drugo";0
"2013";"Èrna gora";"Neznano";6
"2013";"Kosovo";"Zaposlitev";219
"2013";"Kosovo";"Sezonsko delo";...
"2013";"Kosovo";"Združitev z družino";814
"2013";"Kosovo";"Študij";8
"2013";"Kosovo";"Drugo";4
"2013";"Kosovo";"Neznano";7
"2013";"Druge evropske države";"Zaposlitev";485
"2013";"Druge evropske države";"Sezonsko delo";...
"2013";"Druge evropske države";"Združitev z družino";732
"2013";"Druge evropske države";"Študij";151
"2013";"Druge evropske države";"Drugo";19
"2013";"Druge evropske države";"Neznano";18
"2013";"Neevropske države";"Zaposlitev";191
"2013";"Neevropske države";"Sezonsko delo";...
"2013";"Neevropske države";"Združitev z družino";276
"2013";"Neevropske države";"Študij";33
"2013";"Neevropske države";"Drugo";39
"2013";"Neevropske države";"Neznano";10
"2013";"Neznano";"Zaposlitev";0
"2013";"Neznano";"Sezonsko delo";...
"2013";"Neznano";"Združitev z družino";0
"2013";"Neznano";"Študij";0
"2013";"Neznano";"Drugo";0
"2013";"Neznano";"Neznano";0
"2014";"Države EU";"Zaposlitev";2008
"2014";"Države EU";"Sezonsko delo";...
"2014";"Države EU";"Združitev z družino";515
"2014";"Države EU";"Študij";243
"2014";"Države EU";"Drugo";419
"2014";"Države EU";"Neznano";80
"2014";"... Hrvaška";"Zaposlitev";548
"2014";"... Hrvaška";"Sezonsko delo";...
"2014";"... Hrvaška";"Združitev z družino";243
"2014";"... Hrvaška";"Študij";153
"2014";"... Hrvaška";"Drugo";104
"2014";"... Hrvaška";"Neznano";16
"2014";"... druge države èlanice EU";"Zaposlitev";1460
"2014";"... druge države èlanice EU";"Sezonsko delo";...
"2014";"... druge države èlanice EU";"Združitev z družino";272
"2014";"... druge države èlanice EU";"Študij";90
"2014";"... druge države èlanice EU";"Drugo";315
"2014";"... druge države èlanice EU";"Neznano";64
"2014";"Bosna in Hercegovina";"Zaposlitev";1403
"2014";"Bosna in Hercegovina";"Sezonsko delo";...
"2014";"Bosna in Hercegovina";"Združitev z družino";1863
"2014";"Bosna in Hercegovina";"Študij";65
"2014";"Bosna in Hercegovina";"Drugo";22
"2014";"Bosna in Hercegovina";"Neznano";23
"2014";"Hrvaška";"Zaposlitev";...
"2014";"Hrvaška";"Sezonsko delo";...
"2014";"Hrvaška";"Združitev z družino";...
"2014";"Hrvaška";"Študij";...
"2014";"Hrvaška";"Drugo";...
"2014";"Hrvaška";"Neznano";...
"2014";"Srbija";"Zaposlitev";736
"2014";"Srbija";"Sezonsko delo";...
"2014";"Srbija";"Združitev z družino";453
"2014";"Srbija";"Študij";41
"2014";"Srbija";"Drugo";14
"2014";"Srbija";"Neznano";22
"2014";"Srbija in Èrna gora";"Zaposlitev";...
"2014";"Srbija in Èrna gora";"Sezonsko delo";...
"2014";"Srbija in Èrna gora";"Združitev z družino";...
"2014";"Srbija in Èrna gora";"Študij";...
"2014";"Srbija in Èrna gora";"Drugo";...
"2014";"Srbija in Èrna gora";"Neznano";...
"2014";"Èrna gora";"Zaposlitev";17
"2014";"Èrna gora";"Sezonsko delo";...
"2014";"Èrna gora";"Združitev z družino";45
"2014";"Èrna gora";"Študij";11
"2014";"Èrna gora";"Drugo";0
"2014";"Èrna gora";"Neznano";3
"2014";"Kosovo";"Zaposlitev";257
"2014";"Kosovo";"Sezonsko delo";...
"2014";"Kosovo";"Združitev z družino";1021
"2014";"Kosovo";"Študij";15
"2014";"Kosovo";"Drugo";1
"2014";"Kosovo";"Neznano";5
"2014";"Druge evropske države";"Zaposlitev";531
"2014";"Druge evropske države";"Sezonsko delo";...
"2014";"Druge evropske države";"Združitev z družino";836
"2014";"Druge evropske države";"Študij";134
"2014";"Druge evropske države";"Drugo";10
"2014";"Druge evropske države";"Neznano";6
"2014";"Neevropske države";"Zaposlitev";170
"2014";"Neevropske države";"Sezonsko delo";...
"2014";"Neevropske države";"Združitev z družino";260
"2014";"Neevropske države";"Študij";25
"2014";"Neevropske države";"Drugo";48
"2014";"Neevropske države";"Neznano";9
"2014";"Neznano";"Zaposlitev";0
"2014";"Neznano";"Sezonsko delo";...
"2014";"Neznano";"Združitev z družino";0
"2014";"Neznano";"Študij";0
"2014";"Neznano";"Drugo";0
"2014";"Neznano";"Neznano";0
"2015";"Države EU";"Zaposlitev";1638
"2015";"Države EU";"Sezonsko delo";...
"2015";"Države EU";"Združitev z družino";510
"2015";"Države EU";"Študij";163
"2015";"Države EU";"Drugo";375
"2015";"Države EU";"Neznano";76
"2015";"... Hrvaška";"Zaposlitev";442
"2015";"... Hrvaška";"Sezonsko delo";...
"2015";"... Hrvaška";"Združitev z družino";205
"2015";"... Hrvaška";"Študij";111
"2015";"... Hrvaška";"Drugo";72
"2015";"... Hrvaška";"Neznano";16
"2015";"... druge države èlanice EU";"Zaposlitev";1196
"2015";"... druge države èlanice EU";"Sezonsko delo";...
"2015";"... druge države èlanice EU";"Združitev z družino";305
"2015";"... druge države èlanice EU";"Študij";52
"2015";"... druge države èlanice EU";"Drugo";303
"2015";"... druge države èlanice EU";"Neznano";60
"2015";"Bosna in Hercegovina";"Zaposlitev";2128
"2015";"Bosna in Hercegovina";"Sezonsko delo";...
"2015";"Bosna in Hercegovina";"Združitev z družino";2401
"2015";"Bosna in Hercegovina";"Študij";120
"2015";"Bosna in Hercegovina";"Drugo";14
"2015";"Bosna in Hercegovina";"Neznano";31
"2015";"Hrvaška";"Zaposlitev";...
"2015";"Hrvaška";"Sezonsko delo";...
"2015";"Hrvaška";"Združitev z družino";...
"2015";"Hrvaška";"Študij";...
"2015";"Hrvaška";"Drugo";...
"2015";"Hrvaška";"Neznano";...
"2015";"Srbija";"Zaposlitev";747
"2015";"Srbija";"Sezonsko delo";...
"2015";"Srbija";"Združitev z družino";435
"2015";"Srbija";"Študij";41
"2015";"Srbija";"Drugo";8
"2015";"Srbija";"Neznano";20
"2015";"Srbija in Èrna gora";"Zaposlitev";...
"2015";"Srbija in Èrna gora";"Sezonsko delo";...
"2015";"Srbija in Èrna gora";"Združitev z družino";...
"2015";"Srbija in Èrna gora";"Študij";...
"2015";"Srbija in Èrna gora";"Drugo";...
"2015";"Srbija in Èrna gora";"Neznano";...
"2015";"Èrna gora";"Zaposlitev";13
"2015";"Èrna gora";"Sezonsko delo";...
"2015";"Èrna gora";"Združitev z družino";41
"2015";"Èrna gora";"Študij";13
"2015";"Èrna gora";"Drugo";0
"2015";"Èrna gora";"Neznano";0
"2015";"Kosovo";"Zaposlitev";260
"2015";"Kosovo";"Sezonsko delo";...
"2015";"Kosovo";"Združitev z družino";1244
"2015";"Kosovo";"Študij";15
"2015";"Kosovo";"Drugo";2
"2015";"Kosovo";"Neznano";10
"2015";"Druge evropske države";"Zaposlitev";525
"2015";"Druge evropske države";"Sezonsko delo";...
"2015";"Druge evropske države";"Združitev z družino";1003
"2015";"Druge evropske države";"Študij";169
"2015";"Druge evropske države";"Drugo";12
"2015";"Druge evropske države";"Neznano";10
"2015";"Neevropske države";"Zaposlitev";236
"2015";"Neevropske države";"Sezonsko delo";...
"2015";"Neevropske države";"Združitev z družino";305
"2015";"Neevropske države";"Študij";47
"2015";"Neevropske države";"Drugo";47
"2015";"Neevropske države";"Neznano";6
"2015";"Neznano";"Zaposlitev";0
"2015";"Neznano";"Sezonsko delo";...
"2015";"Neznano";"Združitev z družino";0
"2015";"Neznano";"Študij";0
"2015";"Neznano";"Drugo";0
"2015";"Neznano";"Neznano";0
"2016";"Države EU";"Zaposlitev";2067
"2016";"Države EU";"Sezonsko delo";...
"2016";"Države EU";"Združitev z družino";572
"2016";"Države EU";"Študij";252
"2016";"Države EU";"Drugo";411
"2016";"Države EU";"Neznano";87
"2016";"... Hrvaška";"Zaposlitev";593
"2016";"... Hrvaška";"Sezonsko delo";...
"2016";"... Hrvaška";"Združitev z družino";251
"2016";"... Hrvaška";"Študij";160
"2016";"... Hrvaška";"Drugo";73
"2016";"... Hrvaška";"Neznano";18
"2016";"... druge države èlanice EU";"Zaposlitev";1474
"2016";"... druge države èlanice EU";"Sezonsko delo";...
"2016";"... druge države èlanice EU";"Združitev z družino";321
"2016";"... druge države èlanice EU";"Študij";92
"2016";"... druge države èlanice EU";"Drugo";338
"2016";"... druge države èlanice EU";"Neznano";69
"2016";"Bosna in Hercegovina";"Zaposlitev";2521
"2016";"Bosna in Hercegovina";"Sezonsko delo";...
"2016";"Bosna in Hercegovina";"Združitev z družino";2123
"2016";"Bosna in Hercegovina";"Študij";144
"2016";"Bosna in Hercegovina";"Drugo";8
"2016";"Bosna in Hercegovina";"Neznano";15
"2016";"Hrvaška";"Zaposlitev";...
"2016";"Hrvaška";"Sezonsko delo";...
"2016";"Hrvaška";"Združitev z družino";...
"2016";"Hrvaška";"Študij";...
"2016";"Hrvaška";"Drugo";...
"2016";"Hrvaška";"Neznano";...
"2016";"Srbija";"Zaposlitev";1103
"2016";"Srbija";"Sezonsko delo";...
"2016";"Srbija";"Združitev z družino";415
"2016";"Srbija";"Študij";59
"2016";"Srbija";"Drugo";15
"2016";"Srbija";"Neznano";5
"2016";"Srbija in Èrna gora";"Zaposlitev";...
"2016";"Srbija in Èrna gora";"Sezonsko delo";...
"2016";"Srbija in Èrna gora";"Združitev z družino";...
"2016";"Srbija in Èrna gora";"Študij";...
"2016";"Srbija in Èrna gora";"Drugo";...
"2016";"Srbija in Èrna gora";"Neznano";...
"2016";"Èrna gora";"Zaposlitev";16
"2016";"Èrna gora";"Sezonsko delo";...
"2016";"Èrna gora";"Združitev z družino";24
"2016";"Èrna gora";"Študij";11
"2016";"Èrna gora";"Drugo";1
"2016";"Èrna gora";"Neznano";0
"2016";"Kosovo";"Zaposlitev";283
"2016";"Kosovo";"Sezonsko delo";...
"2016";"Kosovo";"Združitev z družino";1178
"2016";"Kosovo";"Študij";15
"2016";"Kosovo";"Drugo";2
"2016";"Kosovo";"Neznano";5
"2016";"Druge evropske države";"Zaposlitev";688
"2016";"Druge evropske države";"Sezonsko delo";...
"2016";"Druge evropske države";"Združitev z družino";804
"2016";"Druge evropske države";"Študij";228
"2016";"Druge evropske države";"Drugo";10
"2016";"Druge evropske države";"Neznano";11
"2016";"Neevropske države";"Zaposlitev";239
"2016";"Neevropske države";"Sezonsko delo";...
"2016";"Neevropske države";"Združitev z družino";276
"2016";"Neevropske države";"Študij";48
"2016";"Neevropske države";"Drugo";114
"2016";"Neevropske države";"Neznano";10
"2016";"Neznano";"Zaposlitev";0
"2016";"Neznano";"Sezonsko delo";...
"2016";"Neznano";"Združitev z družino";0
"2016";"Neznano";"Študij";0
"2016";"Neznano";"Drugo";0
"2016";"Neznano";"Neznano";0
"2017";"Države EU";"Zaposlitev";2073
"2017";"Države EU";"Sezonsko delo";...
"2017";"Države EU";"Združitev z družino";564
"2017";"Države EU";"Študij";232
"2017";"Države EU";"Drugo";357
"2017";"Države EU";"Neznano";89
"2017";"... Hrvaška";"Zaposlitev";614
"2017";"... Hrvaška";"Sezonsko delo";...
"2017";"... Hrvaška";"Združitev z družino";209
"2017";"... Hrvaška";"Študij";175
"2017";"... Hrvaška";"Drugo";79
"2017";"... Hrvaška";"Neznano";22
"2017";"... druge države èlanice EU";"Zaposlitev";1459
"2017";"... druge države èlanice EU";"Sezonsko delo";...
"2017";"... druge države èlanice EU";"Združitev z družino";355
"2017";"... druge države èlanice EU";"Študij";57
"2017";"... druge države èlanice EU";"Drugo";278
"2017";"... druge države èlanice EU";"Neznano";67
"2017";"Bosna in Hercegovina";"Zaposlitev";3677
"2017";"Bosna in Hercegovina";"Sezonsko delo";...
"2017";"Bosna in Hercegovina";"Združitev z družino";2281
"2017";"Bosna in Hercegovina";"Študij";207
"2017";"Bosna in Hercegovina";"Drugo";6
"2017";"Bosna in Hercegovina";"Neznano";14
"2017";"Hrvaška";"Zaposlitev";...
"2017";"Hrvaška";"Sezonsko delo";...
"2017";"Hrvaška";"Združitev z družino";...
"2017";"Hrvaška";"Študij";...
"2017";"Hrvaška";"Drugo";...
"2017";"Hrvaška";"Neznano";...
"2017";"Srbija";"Zaposlitev";1450
"2017";"Srbija";"Sezonsko delo";...
"2017";"Srbija";"Združitev z družino";437
"2017";"Srbija";"Študij";48
"2017";"Srbija";"Drugo";13
"2017";"Srbija";"Neznano";8
"2017";"Srbija in Èrna gora";"Zaposlitev";...
"2017";"Srbija in Èrna gora";"Sezonsko delo";...
"2017";"Srbija in Èrna gora";"Združitev z družino";...
"2017";"Srbija in Èrna gora";"Študij";...
"2017";"Srbija in Èrna gora";"Drugo";...
"2017";"Srbija in Èrna gora";"Neznano";...
"2017";"Èrna gora";"Zaposlitev";25
"2017";"Èrna gora";"Sezonsko delo";...
"2017";"Èrna gora";"Združitev z družino";22
"2017";"Èrna gora";"Študij";17
"2017";"Èrna gora";"Drugo";0
"2017";"Èrna gora";"Neznano";1
"2017";"Kosovo";"Zaposlitev";377
"2017";"Kosovo";"Sezonsko delo";...
"2017";"Kosovo";"Združitev z družino";975
"2017";"Kosovo";"Študij";25
"2017";"Kosovo";"Drugo";2
"2017";"Kosovo";"Neznano";1
"2017";"Druge evropske države";"Zaposlitev";620
"2017";"Druge evropske države";"Sezonsko delo";...
"2017";"Druge evropske države";"Združitev z družino";910
"2017";"Druge evropske države";"Študij";254
"2017";"Druge evropske države";"Drugo";27
"2017";"Druge evropske države";"Neznano";13
"2017";"Neevropske države";"Zaposlitev";243
"2017";"Neevropske države";"Sezonsko delo";...
"2017";"Neevropske države";"Združitev z družino";348
"2017";"Neevropske države";"Študij";81
"2017";"Neevropske države";"Drugo";115
"2017";"Neevropske države";"Neznano";8
"2017";"Neznano";"Zaposlitev";0
"2017";"Neznano";"Sezonsko delo";...
"2017";"Neznano";"Združitev z družino";0
"2017";"Neznano";"Študij";0
"2017";"Neznano";"Drugo";0
"2017";"Neznano";"Neznano";0
"2018";"Države EU";"Zaposlitev";2070
"2018";"Države EU";"Sezonsko delo";...
"2018";"Države EU";"Združitev z družino";574
"2018";"Države EU";"Študij";259
"2018";"Države EU";"Drugo";379
"2018";"Države EU";"Neznano";99
"2018";"... Hrvaška";"Zaposlitev";730
"2018";"... Hrvaška";"Sezonsko delo";...
"2018";"... Hrvaška";"Združitev z družino";224
"2018";"... Hrvaška";"Študij";180
"2018";"... Hrvaška";"Drugo";77
"2018";"... Hrvaška";"Neznano";20
"2018";"... druge države èlanice EU";"Zaposlitev";1340
"2018";"... druge države èlanice EU";"Sezonsko delo";...
"2018";"... druge države èlanice EU";"Združitev z družino";350
"2018";"... druge države èlanice EU";"Študij";79
"2018";"... druge države èlanice EU";"Drugo";302
"2018";"... druge države èlanice EU";"Neznano";79
"2018";"Bosna in Hercegovina";"Zaposlitev";8243
"2018";"Bosna in Hercegovina";"Sezonsko delo";...
"2018";"Bosna in Hercegovina";"Združitev z družino";3212
"2018";"Bosna in Hercegovina";"Študij";208
"2018";"Bosna in Hercegovina";"Drugo";14
"2018";"Bosna in Hercegovina";"Neznano";31
"2018";"Hrvaška";"Zaposlitev";...
"2018";"Hrvaška";"Sezonsko delo";...
"2018";"Hrvaška";"Združitev z družino";...
"2018";"Hrvaška";"Študij";...
"2018";"Hrvaška";"Drugo";...
"2018";"Hrvaška";"Neznano";...
"2018";"Srbija";"Zaposlitev";2463
"2018";"Srbija";"Sezonsko delo";...
"2018";"Srbija";"Združitev z družino";571
"2018";"Srbija";"Študij";112
"2018";"Srbija";"Drugo";12
"2018";"Srbija";"Neznano";19
"2018";"Srbija in Èrna gora";"Zaposlitev";...
"2018";"Srbija in Èrna gora";"Sezonsko delo";...
"2018";"Srbija in Èrna gora";"Združitev z družino";...
"2018";"Srbija in Èrna gora";"Študij";...
"2018";"Srbija in Èrna gora";"Drugo";...
"2018";"Srbija in Èrna gora";"Neznano";...
"2018";"Èrna gora";"Zaposlitev";43
"2018";"Èrna gora";"Sezonsko delo";...
"2018";"Èrna gora";"Združitev z družino";28
"2018";"Èrna gora";"Študij";12
"2018";"Èrna gora";"Drugo";1
"2018";"Èrna gora";"Neznano";0
"2018";"Kosovo";"Zaposlitev";1312
"2018";"Kosovo";"Sezonsko delo";...
"2018";"Kosovo";"Združitev z družino";975
"2018";"Kosovo";"Študij";25
"2018";"Kosovo";"Drugo";5
"2018";"Kosovo";"Neznano";16
"2018";"Druge evropske države";"Zaposlitev";1053
"2018";"Druge evropske države";"Sezonsko delo";...
"2018";"Druge evropske države";"Združitev z družino";1082
"2018";"Druge evropske države";"Študij";323
"2018";"Druge evropske države";"Drugo";14
"2018";"Druge evropske države";"Neznano";19
"2018";"Neevropske države";"Zaposlitev";326
"2018";"Neevropske države";"Sezonsko delo";...
"2018";"Neevropske države";"Združitev z družino";379
"2018";"Neevropske države";"Študij";74
"2018";"Neevropske države";"Drugo";139
"2018";"Neevropske države";"Neznano";9
"2018";"Neznano";"Zaposlitev";0
"2018";"Neznano";"Sezonsko delo";...
"2018";"Neznano";"Združitev z družino";0
"2018";"Neznano";"Študij";0
"2018";"Neznano";"Drugo";0
"2018";"Neznano";"Neznano";0
"2019";"Države EU";"Zaposlitev";2045
"2019";"Države EU";"Sezonsko delo";...
"2019";"Države EU";"Združitev z družino";504
"2019";"Države EU";"Študij";202
"2019";"Države EU";"Drugo";346
"2019";"Države EU";"Neznano";45
"2019";"... Hrvaška";"Zaposlitev";877
"2019";"... Hrvaška";"Sezonsko delo";...
"2019";"... Hrvaška";"Združitev z družino";200
"2019";"... Hrvaška";"Študij";127
"2019";"... Hrvaška";"Drugo";60
"2019";"... Hrvaška";"Neznano";5
"2019";"... druge države èlanice EU";"Zaposlitev";1168
"2019";"... druge države èlanice EU";"Sezonsko delo";...
"2019";"... druge države èlanice EU";"Združitev z družino";304
"2019";"... druge države èlanice EU";"Študij";75
"2019";"... druge države èlanice EU";"Drugo";286
"2019";"... druge države èlanice EU";"Neznano";40
"2019";"Bosna in Hercegovina";"Zaposlitev";9754
"2019";"Bosna in Hercegovina";"Sezonsko delo";...
"2019";"Bosna in Hercegovina";"Združitev z družino";3627
"2019";"Bosna in Hercegovina";"Študij";354
"2019";"Bosna in Hercegovina";"Drugo";31
"2019";"Bosna in Hercegovina";"Neznano";26
"2019";"Hrvaška";"Zaposlitev";...
"2019";"Hrvaška";"Sezonsko delo";...
"2019";"Hrvaška";"Združitev z družino";...
"2019";"Hrvaška";"Študij";...
"2019";"Hrvaška";"Drugo";...
"2019";"Hrvaška";"Neznano";...
"2019";"Srbija";"Zaposlitev";2940
"2019";"Srbija";"Sezonsko delo";...
"2019";"Srbija";"Združitev z družino";643
"2019";"Srbija";"Študij";163
"2019";"Srbija";"Drugo";20
"2019";"Srbija";"Neznano";12
"2019";"Srbija in Èrna gora";"Zaposlitev";...
"2019";"Srbija in Èrna gora";"Sezonsko delo";...
"2019";"Srbija in Èrna gora";"Združitev z družino";...
"2019";"Srbija in Èrna gora";"Študij";...
"2019";"Srbija in Èrna gora";"Drugo";...
"2019";"Srbija in Èrna gora";"Neznano";...
"2019";"Èrna gora";"Zaposlitev";62
"2019";"Èrna gora";"Sezonsko delo";...
"2019";"Èrna gora";"Združitev z družino";19
"2019";"Èrna gora";"Študij";36
"2019";"Èrna gora";"Drugo";1
"2019";"Èrna gora";"Neznano";0
"2019";"Kosovo";"Zaposlitev";2343
"2019";"Kosovo";"Sezonsko delo";...
"2019";"Kosovo";"Združitev z družino";956
"2019";"Kosovo";"Študij";29
"2019";"Kosovo";"Drugo";4
"2019";"Kosovo";"Neznano";12
"2019";"Druge evropske države";"Zaposlitev";1156
"2019";"Druge evropske države";"Sezonsko delo";...
"2019";"Druge evropske države";"Združitev z družino";842
"2019";"Druge evropske države";"Študij";370
"2019";"Druge evropske države";"Drugo";18
"2019";"Druge evropske države";"Neznano";19
"2019";"Neevropske države";"Zaposlitev";436
"2019";"Neevropske države";"Sezonsko delo";...
"2019";"Neevropske države";"Združitev z družino";361
"2019";"Neevropske države";"Študij";83
"2019";"Neevropske države";"Drugo";90
"2019";"Neevropske države";"Neznano";11
"2019";"Neznano";"Zaposlitev";0
"2019";"Neznano";"Sezonsko delo";...
"2019";"Neznano";"Združitev z družino";0
"2019";"Neznano";"Študij";0
"2019";"Neznano";"Drugo";0
"2019";"Neznano";"Neznano";0
