"Prebivalstvo po starosti in spolu, statistiène regije, Slovenija, polletno"

"POLLETJE";"STATISTIÈNA REGIJA";"SPOL";"STAROST";Prebivalstvo
"2016H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";71040
"2016H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";254318
"2016H1";"Zasavska";"Spol - SKUPAJ";"Starost - SKUPAJ";57404
"2016H1";"Posavska";"Spol - SKUPAJ";"Starost - SKUPAJ";75711
"2016H1";"Jugovzhodna Slovenija";"Spol - SKUPAJ";"Starost - SKUPAJ";142566
"2016H1";"Osrednjeslovenska";"Spol - SKUPAJ";"Starost - SKUPAJ";537023
"2016H1";"Gorenjska";"Spol - SKUPAJ";"Starost - SKUPAJ";203838
"2016H1";"Primorsko-notranjska";"Spol - SKUPAJ";"Starost - SKUPAJ";52523
"2016H1";"Goriška";"Spol - SKUPAJ";"Starost - SKUPAJ";118064
"2016H1";"Obalno-kraška";"Spol - SKUPAJ";"Starost - SKUPAJ";113070
"2017H1";"Pomurska";"Spol - SKUPAJ";"Starost - SKUPAJ";115477
"2017H1";"Podravska";"Spol - SKUPAJ";"Starost - SKUPAJ";322043
"2017H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";70761
"2017H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";254761
"2017H1";"Zasavska";"Spol - SKUPAJ";"Starost - SKUPAJ";57280
"2017H1";"Posavska";"Spol - SKUPAJ";"Starost - SKUPAJ";75544
"2017H1";"Jugovzhodna Slovenija";"Spol - SKUPAJ";"Starost - SKUPAJ";142711
"2017H1";"Osrednjeslovenska";"Spol - SKUPAJ";"Starost - SKUPAJ";539672
"2017H1";"Gorenjska";"Spol - SKUPAJ";"Starost - SKUPAJ";203800
"2017H1";"Primorsko-notranjska";"Spol - SKUPAJ";"Starost - SKUPAJ";52582
"2017H1";"Goriška";"Spol - SKUPAJ";"Starost - SKUPAJ";117747
"2017H1";"Obalno-kraška";"Spol - SKUPAJ";"Starost - SKUPAJ";113517
