"Priseljeni zaposleni prebivalci po dejavnosti, državljanstvu in spolu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Priseljeni zaposleni prebivalci
"2012";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";2
"2012";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";4
"2012";"Tuji državljani";"Ženske";"Gradbeništvo";45
"2012";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";85
"2012";"Tuji državljani";"Ženske";"Promet in skladišèenje";33
"2012";"Tuji državljani";"Ženske";"Gostinstvo";202
"2012";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";10
"2012";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";6
"2012";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";7
"2012";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";119
"2012";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";199
"2012";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2012";"Tuji državljani";"Ženske";"Izobraževanje";41
"2012";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";86
"2012";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";34
"2012";"Tuji državljani";"Ženske";"Druge dejavnosti";65
"2012";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";6
"2012";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2013";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";22
"2013";"Tuji državljani";"Moški";"Rudarstvo";6
"2013";"Tuji državljani";"Moški";"Predelovalne dejavnosti";1010
"2013";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";5
"2013";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";13
"2013";"Tuji državljani";"Moški";"Gradbeništvo";1545
"2013";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";259
"2013";"Tuji državljani";"Moški";"Promet in skladišèenje";707
"2013";"Tuji državljani";"Moški";"Gostinstvo";186
"2013";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";58
"2013";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";14
"2013";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";22
"2013";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";247
"2013";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";192
"2013";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2013";"Tuji državljani";"Moški";"Izobraževanje";41
"2013";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";37
"2013";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";49
"2013";"Tuji državljani";"Moški";"Druge dejavnosti";53
"2013";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";3
"2013";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2013";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";4
"2013";"Tuji državljani";"Ženske";"Rudarstvo";0
"2013";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";87
"2013";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";3
"2013";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";3
"2013";"Tuji državljani";"Ženske";"Gradbeništvo";44
"2013";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";88
"2013";"Tuji državljani";"Ženske";"Promet in skladišèenje";21
"2013";"Tuji državljani";"Ženske";"Gostinstvo";132
"2013";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";18
"2013";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";3
"2013";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";6
"2013";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";97
"2013";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";163
"2013";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";0
"2013";"Tuji državljani";"Ženske";"Izobraževanje";31
"2013";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";74
"2013";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";17
"2013";"Tuji državljani";"Ženske";"Druge dejavnosti";36
"2013";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";3
"2013";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2014";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";37
"2014";"Tuji državljani";"Moški";"Rudarstvo";4
"2014";"Tuji državljani";"Moški";"Predelovalne dejavnosti";757
"2014";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";7
"2014";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";12
"2014";"Tuji državljani";"Moški";"Gradbeništvo";1246
"2014";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";285
"2014";"Tuji državljani";"Moški";"Promet in skladišèenje";814
"2014";"Tuji državljani";"Moški";"Gostinstvo";146
