"Prebivalstvo, staro 15 ali veè let, po izobrazbi, petletnih starostnih skupinah in spolu, statistiène regije, letno"

"LETO";"SPOL";"STAROST";"STATISTIÈNA REGIJA";"IZOBRAZBA";Prebivalstvo, staro 15 ali veè let
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Osnovnošolska";15753
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Srednješolska - Skupaj";32308
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Nižja poklicna, srednja poklicna";15681
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Srednja strokovna, srednja splošna";16627
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Višješolska, visokošolska - Skupaj";8288
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 1. stopnje ipd.";4499
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 2. stopnje ipd.";3504
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 3. stopnje ipd.";285
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Brez izobrazbe, nepopolna osnovnošolska";8570
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Osnovnošolska";32095
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Srednješolska - Skupaj";62337
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Nižja poklicna, srednja poklicna";29833
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Srednja strokovna, srednja splošna";32504
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Višješolska, visokošolska - Skupaj";18130
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 1. stopnje ipd.";9955
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 2. stopnje ipd.";7337
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 3. stopnje ipd.";838
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Brez izobrazbe, nepopolna osnovnošolska";12961
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Osnovnošolska";96235
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Srednješolska - Skupaj";239838
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Nižja poklicna, srednja poklicna";87334
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Srednja strokovna, srednja splošna";152504
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Višješolska, visokošolska - Skupaj";104791
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Visokošolska 1. stopnje ipd.";39398
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Visokošolska 2. stopnje ipd.";54149
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Osrednjeslovenska";"Visokošolska 3. stopnje ipd.";11244
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Brez izobrazbe, nepopolna osnovnošolska";7443
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Osnovnošolska";39777
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Srednješolska - Skupaj";94429
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Nižja poklicna, srednja poklicna";40452
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Srednja strokovna, srednja splošna";53977
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Višješolska, visokošolska - Skupaj";30745
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Visokošolska 1. stopnje ipd.";14407
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Visokošolska 2. stopnje ipd.";14300
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Gorenjska";"Visokošolska 3. stopnje ipd.";2038
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Brez izobrazbe, nepopolna osnovnošolska";2557
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Osnovnošolska";11757
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Srednješolska - Skupaj";23328
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Nižja poklicna, srednja poklicna";10863
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Srednja strokovna, srednja splošna";12465
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Višješolska, visokošolska - Skupaj";7246
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Visokošolska 1. stopnje ipd.";3790
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Visokošolska 2. stopnje ipd.";3089
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Primorsko-notranjska";"Visokošolska 3. stopnje ipd.";367
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Brez izobrazbe, nepopolna osnovnošolska";4721
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Osnovnošolska";28178
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Srednješolska - Skupaj";52473
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Nižja poklicna, srednja poklicna";24416
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Srednja strokovna, srednja splošna";28057
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Višješolska, visokošolska - Skupaj";17315
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Visokošolska 1. stopnje ipd.";8492
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Visokošolska 2. stopnje ipd.";8010
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Goriška";"Visokošolska 3. stopnje ipd.";813
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Brez izobrazbe, nepopolna osnovnošolska";5191
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Osnovnošolska";22935
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Srednješolska - Skupaj";51041
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Nižja poklicna, srednja poklicna";21184
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Srednja strokovna, srednja splošna";29857
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Višješolska, visokošolska - Skupaj";17644
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Visokošolska 1. stopnje ipd.";8583
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Visokošolska 2. stopnje ipd.";8078
"2011";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Visokošolska 3. stopnje ipd.";983
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Brez izobrazbe, nepopolna osnovnošolska";3952
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Osnovnošolska";34351
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Srednješolska - Skupaj";51406
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Nižja poklicna, srednja poklicna";23915
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Srednja strokovna, srednja splošna";27491
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Višješolska, visokošolska - Skupaj";13750
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 1. stopnje ipd.";6809
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 2. stopnje ipd.";6263
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 3. stopnje ipd.";678
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Brez izobrazbe, nepopolna osnovnošolska";11211
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Osnovnošolska";65607
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Srednješolska - Skupaj";156935
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Nižja poklicna, srednja poklicna";68125
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Srednja strokovna, srednja splošna";88810
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Višješolska, visokošolska - Skupaj";47576
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Visokošolska 1. stopnje ipd.";21865
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Visokošolska 2. stopnje ipd.";22398
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Visokošolska 3. stopnje ipd.";3313
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Brez izobrazbe, nepopolna osnovnošolska";3681
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Osnovnošolska";14752
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Srednješolska - Skupaj";34269
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Nižja poklicna, srednja poklicna";17206
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Srednja strokovna, srednja splošna";17063
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Višješolska, visokošolska - Skupaj";9360
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Visokošolska 1. stopnje ipd.";4650
