"";"Starost";"Spol";"Leto";"Dohodek"
"129";"Starost 50-64";"Moški";2016;9650
"130";"Starost 50-64";"Moški";2017;9956
"131";"Starost 50-64";"Moški";2018;10377
"132";"Starost 50-64";"Moški";2019;11342
"133";"Starost 50-64";"Ženske";2008;8595
"134";"Starost 50-64";"Ženske";2009;9334
"135";"Starost 50-64";"Ženske";2010;9439
"136";"Starost 50-64";"Ženske";2011;9647
"137";"Starost 50-64";"Ženske";2012;9637
"138";"Starost 50-64";"Ženske";2013;9537
"139";"Starost 50-64";"Ženske";2014;9491
"140";"Starost 50-64";"Ženske";2015;9752
"141";"Starost 50-64";"Ženske";2016;9679
"142";"Starost 50-64";"Ženske";2017;10058
"143";"Starost 50-64";"Ženske";2018;10394
"144";"Starost 50-64";"Ženske";2019;11300
