"Povpreène meseène bruto plaèe (EUR) po dejavnosti (SKD 2008), doseženi izobrazbi in spolu, Slovenija, letno"

"SKD DEJAVNOST";"DOSEŽENA IZOBRAZBA";"LETO";"SPOL";Povpreène meseène bruto plaèe (EUR, SKD 2008)
"L POSLOVANJE Z NEPREMIÈNINAMI";"Izobrazba - SKUPAJ";"2010";"Ženske";1436
"L POSLOVANJE Z NEPREMIÈNINAMI";"Izobrazba - SKUPAJ";"2018";"Moški";1897
"L POSLOVANJE Z NEPREMIÈNINAMI";"Izobrazba - SKUPAJ";"2018";"Ženske";1685
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";1938
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";1708
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";2102
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";1924
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";1096
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";955
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";1341
"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";1211
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";1905
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";1759
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";2143
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";1968
"P IZOBRAŽEVANJE";"Izobrazba - SKUPAJ";"2010";"Moški";2118
"P IZOBRAŽEVANJE";"Izobrazba - SKUPAJ";"2010";"Ženske";1766
"P IZOBRAŽEVANJE";"Izobrazba - SKUPAJ";"2018";"Moški";2117
"P IZOBRAŽEVANJE";"Izobrazba - SKUPAJ";"2018";"Ženske";1790
"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Izobrazba - SKUPAJ";"2010";"Moški";2358
"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Izobrazba - SKUPAJ";"2010";"Ženske";1673
"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Izobrazba - SKUPAJ";"2018";"Moški";2409
"Q ZDRAVSTVO IN SOCIALNO VARSTVO";"Izobrazba - SKUPAJ";"2018";"Ženske";1849
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";1886
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";1717
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";1880
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";1789
"S DRUGE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Moški";1586
"S DRUGE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2010";"Ženske";1201
"S DRUGE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Moški";1622
"S DRUGE DEJAVNOSTI";"Izobrazba - SKUPAJ";"2018";"Ženske";1359
"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO";"Izobrazba - SKUPAJ";"2010";"Moški";-
"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO";"Izobrazba - SKUPAJ";"2010";"Ženske";-
"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO";"Izobrazba - SKUPAJ";"2018";"Moški";-
"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO";"Izobrazba - SKUPAJ";"2018";"Ženske";-
"U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES";"Izobrazba - SKUPAJ";"2010";"Moški";-
"U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES";"Izobrazba - SKUPAJ";"2010";"Ženske";-
"U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES";"Izobrazba - SKUPAJ";"2018";"Moški";-
"U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES";"Izobrazba - SKUPAJ";"2018";"Ženske";-
