"Razpoložljivi dohodek gospodinjstev po starosti in spolu (EUR), Slovenija, letno"

"MERITVE";"STAROSTNE SKUPINE";"SPOL";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2018";"Dohodek po socialnih transferjih";10377
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Moški";"2019";"Dohodek po socialnih transferjih";11342
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2008";"Dohodek po socialnih transferjih";8595
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2009";"Dohodek po socialnih transferjih";9334
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2010";"Dohodek po socialnih transferjih";9439
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2011";"Dohodek po socialnih transferjih";9647
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2012";"Dohodek po socialnih transferjih";9637
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2013";"Dohodek po socialnih transferjih";9537
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2014";"Dohodek po socialnih transferjih";9491
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2015";"Dohodek po socialnih transferjih";9752
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2016";"Dohodek po socialnih transferjih";9679
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2017";"Dohodek po socialnih transferjih";10058
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2018";"Dohodek po socialnih transferjih";10394
"Povpreèni dohodek na èlana gospodinjstva";"Starost 50-64";"Ženske";"2019";"Dohodek po socialnih transferjih";11300
