"Priseljeni prebivalci po državi prejšnjega prebivališèa, državljanstvu in starostnih skupinah, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"STAROSTNE SKUPINE";Priseljeni prebivalci
"2011";"Tuji državljani";"....Belgija";"30-34";4
"2011";"Tuji državljani";"....Belgija";"35-39";5
"2011";"Tuji državljani";"....Belgija";"40-44";2
"2011";"Tuji državljani";"....Belgija";"45-49";1
"2011";"Tuji državljani";"....Belgija";"50-54";0
"2011";"Tuji državljani";"....Belgija";"55-59";2
"2011";"Tuji državljani";"....Belgija";"60-64";0
"2011";"Tuji državljani";"....Belgija";"65 +";0
"2011";"Tuji državljani";"....Bolgarija";"0-14";27
"2011";"Tuji državljani";"....Bolgarija";"15-19";12
"2011";"Tuji državljani";"....Bolgarija";"20-24";44
"2011";"Tuji državljani";"....Bolgarija";"25-29";95
"2011";"Tuji državljani";"....Bolgarija";"30-34";113
"2011";"Tuji državljani";"....Bolgarija";"35-39";75
"2011";"Tuji državljani";"....Bolgarija";"40-44";110
"2011";"Tuji državljani";"....Bolgarija";"45-49";76
"2011";"Tuji državljani";"....Bolgarija";"50-54";44
"2011";"Tuji državljani";"....Bolgarija";"55-59";16
"2011";"Tuji državljani";"....Bolgarija";"60-64";7
"2011";"Tuji državljani";"....Bolgarija";"65 +";3
"2011";"Tuji državljani";"....Hrvaška";"0-14";33
"2011";"Tuji državljani";"....Hrvaška";"15-19";21
"2011";"Tuji državljani";"....Hrvaška";"20-24";165
"2011";"Tuji državljani";"....Hrvaška";"25-29";139
"2011";"Tuji državljani";"....Hrvaška";"30-34";128
"2011";"Tuji državljani";"....Hrvaška";"35-39";78
"2011";"Tuji državljani";"....Hrvaška";"40-44";71
"2011";"Tuji državljani";"....Hrvaška";"45-49";73
"2011";"Tuji državljani";"....Hrvaška";"50-54";83
"2011";"Tuji državljani";"....Hrvaška";"55-59";43
"2011";"Tuji državljani";"....Hrvaška";"60-64";26
"2011";"Tuji državljani";"....Hrvaška";"65 +";46
"2011";"Tuji državljani";"....Italija";"0-14";38
"2011";"Tuji državljani";"....Italija";"15-19";3
"2011";"Tuji državljani";"....Italija";"20-24";13
"2011";"Tuji državljani";"....Italija";"25-29";27
"2011";"Tuji državljani";"....Italija";"30-34";48
"2011";"Tuji državljani";"....Italija";"35-39";37
"2011";"Tuji državljani";"....Italija";"40-44";45
"2011";"Tuji državljani";"....Italija";"45-49";34
"2011";"Tuji državljani";"....Italija";"50-54";23
"2011";"Tuji državljani";"....Italija";"55-59";14
"2011";"Tuji državljani";"....Italija";"60-64";14
"2011";"Tuji državljani";"....Italija";"65 +";26
"2011";"Tuji državljani";"....Nemèija";"0-14";6
"2011";"Tuji državljani";"....Nemèija";"15-19";2
"2011";"Tuji državljani";"....Nemèija";"20-24";6
"2011";"Tuji državljani";"....Nemèija";"25-29";8
"2011";"Tuji državljani";"....Nemèija";"30-34";10
"2011";"Tuji državljani";"....Nemèija";"35-39";17
"2011";"Tuji državljani";"....Nemèija";"40-44";12
"2011";"Tuji državljani";"....Nemèija";"45-49";10
"2011";"Tuji državljani";"....Nemèija";"50-54";15
"2011";"Tuji državljani";"....Nemèija";"55-59";7
"2011";"Tuji državljani";"....Nemèija";"60-64";36
"2011";"Tuji državljani";"....Nemèija";"65 +";51
"2011";"Tuji državljani";"....Slovaška";"0-14";7
"2011";"Tuji državljani";"....Slovaška";"15-19";4
"2011";"Tuji državljani";"....Slovaška";"20-24";35
"2011";"Tuji državljani";"....Slovaška";"25-29";30
"2011";"Tuji državljani";"....Slovaška";"30-34";22
"2011";"Tuji državljani";"....Slovaška";"35-39";15
"2011";"Tuji državljani";"....Slovaška";"40-44";13
"2011";"Tuji državljani";"....Slovaška";"45-49";16
"2011";"Tuji državljani";"....Slovaška";"50-54";12
"2011";"Tuji državljani";"....Slovaška";"55-59";3
"2011";"Tuji državljani";"....Slovaška";"60-64";0
"2011";"Tuji državljani";"....Slovaška";"65 +";0
"2011";"Tuji državljani";"....Združeno kraljestvo";"0-14";12
"2011";"Tuji državljani";"....Združeno kraljestvo";"15-19";2
"2011";"Tuji državljani";"....Združeno kraljestvo";"20-24";2
"2011";"Tuji državljani";"....Združeno kraljestvo";"25-29";4
"2011";"Tuji državljani";"....Združeno kraljestvo";"30-34";7
"2011";"Tuji državljani";"....Združeno kraljestvo";"35-39";8
"2011";"Tuji državljani";"....Združeno kraljestvo";"40-44";6
"2011";"Tuji državljani";"....Združeno kraljestvo";"45-49";7
"2011";"Tuji državljani";"....Združeno kraljestvo";"50-54";10
"2011";"Tuji državljani";"....Združeno kraljestvo";"55-59";9
"2011";"Tuji državljani";"....Združeno kraljestvo";"60-64";5
"2011";"Tuji državljani";"....Združeno kraljestvo";"65 +";2
"2011";"Tuji državljani";"....ostale države èlanice EU";"0-14";34
"2011";"Tuji državljani";"....ostale države èlanice EU";"15-19";9
"2011";"Tuji državljani";"....ostale države èlanice EU";"20-24";48
"2011";"Tuji državljani";"....ostale države èlanice EU";"25-29";84
"2011";"Tuji državljani";"....ostale države èlanice EU";"30-34";77
"2011";"Tuji državljani";"....ostale države èlanice EU";"35-39";46
"2011";"Tuji državljani";"....ostale države èlanice EU";"40-44";44
"2011";"Tuji državljani";"....ostale države èlanice EU";"45-49";20
"2011";"Tuji državljani";"....ostale države èlanice EU";"50-54";14
"2011";"Tuji državljani";"....ostale države èlanice EU";"55-59";7
"2011";"Tuji državljani";"....ostale države èlanice EU";"60-64";10
"2011";"Tuji državljani";"....ostale države èlanice EU";"65 +";16
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"0-14";49
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"15-19";18
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"20-24";43
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"25-29";70
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"30-34";66
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"35-39";58
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"40-44";38
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"45-49";23
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"50-54";18
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"55-59";15
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"60-64";7
"2011";"Tuji državljani";"- Druge evropske države - SKUPAJ";"65 +";14
"2011";"Tuji državljani";"....Ruska federacija";"0-14";10
"2011";"Tuji državljani";"....Ruska federacija";"15-19";9
"2011";"Tuji državljani";"....Ruska federacija";"20-24";16
"2011";"Tuji državljani";"....Ruska federacija";"25-29";13
"2011";"Tuji državljani";"....Ruska federacija";"30-34";14
"2011";"Tuji državljani";"....Ruska federacija";"35-39";23
"2011";"Tuji državljani";"....Ruska federacija";"40-44";19
"2011";"Tuji državljani";"....Ruska federacija";"45-49";6
"2011";"Tuji državljani";"....Ruska federacija";"50-54";8
"2011";"Tuji državljani";"....Ruska federacija";"55-59";7
"2011";"Tuji državljani";"....Ruska federacija";"60-64";4
"2011";"Tuji državljani";"....Ruska federacija";"65 +";4
"2011";"Tuji državljani";"....Švica";"0-14";0
"2011";"Tuji državljani";"....Švica";"15-19";0
"2011";"Tuji državljani";"....Švica";"20-24";1
"2011";"Tuji državljani";"....Švica";"25-29";1
"2011";"Tuji državljani";"....Švica";"30-34";0
"2011";"Tuji državljani";"....Švica";"35-39";0
"2011";"Tuji državljani";"....Švica";"40-44";0
"2011";"Tuji državljani";"....Švica";"45-49";1
"2011";"Tuji državljani";"....Švica";"50-54";0
"2011";"Tuji državljani";"....Švica";"55-59";2
"2011";"Tuji državljani";"....Švica";"60-64";2
"2011";"Tuji državljani";"....Švica";"65 +";6
"2011";"Tuji državljani";"....Ukrajina";"0-14";25
"2011";"Tuji državljani";"....Ukrajina";"15-19";9
"2011";"Tuji državljani";"....Ukrajina";"20-24";19
"2011";"Tuji državljani";"....Ukrajina";"25-29";41
