"Priseljeni prebivalci po državi prejšnjega prebivališèa, državljanstvu in starostnih skupinah, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"STAROSTNE SKUPINE";Priseljeni prebivalci
"2012";"Tuji državljani";"....Slovaška";"15-19";4
"2012";"Tuji državljani";"....Slovaška";"20-24";16
"2012";"Tuji državljani";"....Slovaška";"25-29";24
"2012";"Tuji državljani";"....Slovaška";"30-34";23
"2012";"Tuji državljani";"....Slovaška";"35-39";14
"2012";"Tuji državljani";"....Slovaška";"40-44";10
"2012";"Tuji državljani";"....Slovaška";"45-49";11
"2012";"Tuji državljani";"....Slovaška";"50-54";5
"2012";"Tuji državljani";"....Slovaška";"55-59";5
"2012";"Tuji državljani";"....Slovaška";"60-64";1
"2012";"Tuji državljani";"....Slovaška";"65 +";0
"2012";"Tuji državljani";"....Združeno kraljestvo";"0-14";13
"2012";"Tuji državljani";"....Združeno kraljestvo";"15-19";2
"2012";"Tuji državljani";"....Združeno kraljestvo";"20-24";3
"2012";"Tuji državljani";"....Združeno kraljestvo";"25-29";6
"2012";"Tuji državljani";"....Združeno kraljestvo";"30-34";9
"2012";"Tuji državljani";"....Združeno kraljestvo";"35-39";13
"2012";"Tuji državljani";"....Združeno kraljestvo";"40-44";10
"2012";"Tuji državljani";"....Združeno kraljestvo";"45-49";12
"2012";"Tuji državljani";"....Združeno kraljestvo";"50-54";16
"2012";"Tuji državljani";"....Združeno kraljestvo";"55-59";6
"2012";"Tuji državljani";"....Združeno kraljestvo";"60-64";6
"2012";"Tuji državljani";"....Združeno kraljestvo";"65 +";10
"2012";"Tuji državljani";"....ostale države èlanice EU";"0-14";47
"2012";"Tuji državljani";"....ostale države èlanice EU";"15-19";4
"2012";"Tuji državljani";"....ostale države èlanice EU";"20-24";35
"2012";"Tuji državljani";"....ostale države èlanice EU";"25-29";101
"2012";"Tuji državljani";"....ostale države èlanice EU";"30-34";90
"2012";"Tuji državljani";"....ostale države èlanice EU";"35-39";63
"2012";"Tuji državljani";"....ostale države èlanice EU";"40-44";41
"2012";"Tuji državljani";"....ostale države èlanice EU";"45-49";24
"2012";"Tuji državljani";"....ostale države èlanice EU";"50-54";12
"2012";"Tuji državljani";"....ostale države èlanice EU";"55-59";15
"2012";"Tuji državljani";"....ostale države èlanice EU";"60-64";13
"2012";"Tuji državljani";"....ostale države èlanice EU";"65 +";12
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"0-14";74
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"15-19";16
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"20-24";58
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"25-29";76
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"30-34";84
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"35-39";72
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"40-44";65
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"45-49";30
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"50-54";26
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"55-59";26
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"60-64";11
"2012";"Tuji državljani";"- Druge evropske države - SKUPAJ";"65 +";12
"2012";"Tuji državljani";"....Ruska federacija";"0-14";48
"2012";"Tuji državljani";"....Ruska federacija";"15-19";11
"2012";"Tuji državljani";"....Ruska federacija";"20-24";16
"2012";"Tuji državljani";"....Ruska federacija";"25-29";21
"2012";"Tuji državljani";"....Ruska federacija";"30-34";28
"2012";"Tuji državljani";"....Ruska federacija";"35-39";32
"2012";"Tuji državljani";"....Ruska federacija";"40-44";36
"2012";"Tuji državljani";"....Ruska federacija";"45-49";16
"2012";"Tuji državljani";"....Ruska federacija";"50-54";11
"2012";"Tuji državljani";"....Ruska federacija";"55-59";10
"2012";"Tuji državljani";"....Ruska federacija";"60-64";6
"2012";"Tuji državljani";"....Ruska federacija";"65 +";4
"2012";"Tuji državljani";"....Švica";"0-14";0
"2012";"Tuji državljani";"....Švica";"15-19";0
"2012";"Tuji državljani";"....Švica";"20-24";2
"2012";"Tuji državljani";"....Švica";"25-29";0
"2012";"Tuji državljani";"....Švica";"30-34";1
"2012";"Tuji državljani";"....Švica";"35-39";0
"2012";"Tuji državljani";"....Švica";"40-44";2
"2012";"Tuji državljani";"....Švica";"45-49";2
"2012";"Tuji državljani";"....Švica";"50-54";1
"2012";"Tuji državljani";"....Švica";"55-59";4
"2012";"Tuji državljani";"....Švica";"60-64";2
"2012";"Tuji državljani";"....Švica";"65 +";6
"2012";"Tuji državljani";"....Ukrajina";"0-14";15
"2012";"Tuji državljani";"....Ukrajina";"15-19";4
"2012";"Tuji državljani";"....Ukrajina";"20-24";27
"2012";"Tuji državljani";"....Ukrajina";"25-29";38
"2012";"Tuji državljani";"....Ukrajina";"30-34";47
"2012";"Tuji državljani";"....Ukrajina";"35-39";28
"2012";"Tuji državljani";"....Ukrajina";"40-44";24
"2012";"Tuji državljani";"....Ukrajina";"45-49";8
"2012";"Tuji državljani";"....Ukrajina";"50-54";11
"2012";"Tuji državljani";"....Ukrajina";"55-59";12
"2012";"Tuji državljani";"....Ukrajina";"60-64";3
"2012";"Tuji državljani";"....Ukrajina";"65 +";2
"2012";"Tuji državljani";"....ostale evropske države";"0-14";11
"2012";"Tuji državljani";"....ostale evropske države";"15-19";1
"2012";"Tuji državljani";"....ostale evropske države";"20-24";13
"2012";"Tuji državljani";"....ostale evropske države";"25-29";17
"2012";"Tuji državljani";"....ostale evropske države";"30-34";8
"2012";"Tuji državljani";"....ostale evropske države";"35-39";12
"2012";"Tuji državljani";"....ostale evropske države";"40-44";3
"2012";"Tuji državljani";"....ostale evropske države";"45-49";4
"2012";"Tuji državljani";"....ostale evropske države";"50-54";3
"2012";"Tuji državljani";"....ostale evropske države";"55-59";0
"2012";"Tuji državljani";"....ostale evropske države";"60-64";0
"2012";"Tuji državljani";"....ostale evropske države";"65 +";0
"2012";"Tuji državljani";"AFRIKA";"0-14";0
"2012";"Tuji državljani";"AFRIKA";"15-19";8
"2012";"Tuji državljani";"AFRIKA";"20-24";4
"2012";"Tuji državljani";"AFRIKA";"25-29";22
"2012";"Tuji državljani";"AFRIKA";"30-34";9
"2012";"Tuji državljani";"AFRIKA";"35-39";11
"2012";"Tuji državljani";"AFRIKA";"40-44";4
"2012";"Tuji državljani";"AFRIKA";"45-49";1
"2012";"Tuji državljani";"AFRIKA";"50-54";2
"2012";"Tuji državljani";"AFRIKA";"55-59";1
"2012";"Tuji državljani";"AFRIKA";"60-64";1
"2012";"Tuji državljani";"AFRIKA";"65 +";0
"2012";"Tuji državljani";"AZIJA";"0-14";14
"2012";"Tuji državljani";"AZIJA";"15-19";17
"2012";"Tuji državljani";"AZIJA";"20-24";70
"2012";"Tuji državljani";"AZIJA";"25-29";52
"2012";"Tuji državljani";"AZIJA";"30-34";49
"2012";"Tuji državljani";"AZIJA";"35-39";45
"2012";"Tuji državljani";"AZIJA";"40-44";16
"2012";"Tuji državljani";"AZIJA";"45-49";21
"2012";"Tuji državljani";"AZIJA";"50-54";6
"2012";"Tuji državljani";"AZIJA";"55-59";4
"2012";"Tuji državljani";"AZIJA";"60-64";2
"2012";"Tuji državljani";"AZIJA";"65 +";0
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"0-14";14
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"15-19";5
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"20-24";14
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"25-29";23
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"30-34";22
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"35-39";13
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"40-44";1
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"45-49";5
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"50-54";4
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"55-59";3
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"60-64";1
"2012";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"65 +";4
"2012";"Tuji državljani";"JUŽNA AMERIKA";"0-14";4
"2012";"Tuji državljani";"JUŽNA AMERIKA";"15-19";1
"2012";"Tuji državljani";"JUŽNA AMERIKA";"20-24";3
"2012";"Tuji državljani";"JUŽNA AMERIKA";"25-29";11
"2012";"Tuji državljani";"JUŽNA AMERIKA";"30-34";13
"2012";"Tuji državljani";"JUŽNA AMERIKA";"35-39";4
"2012";"Tuji državljani";"JUŽNA AMERIKA";"40-44";1
"2012";"Tuji državljani";"JUŽNA AMERIKA";"45-49";0
"2012";"Tuji državljani";"JUŽNA AMERIKA";"50-54";0
"2012";"Tuji državljani";"JUŽNA AMERIKA";"55-59";0
"2012";"Tuji državljani";"JUŽNA AMERIKA";"60-64";0
"2012";"Tuji državljani";"JUŽNA AMERIKA";"65 +";1
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"0-14";4
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"15-19";0
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"20-24";1
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"25-29";1
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"30-34";3
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"35-39";3
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"40-44";1
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"45-49";1
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"50-54";1
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"55-59";0
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"60-64";2
"2012";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"65 +";3
"2013";"Tuji državljani";"....Bosna in Hercegovina";"0-14";630
"2013";"Tuji državljani";"....Bosna in Hercegovina";"15-19";270
"2013";"Tuji državljani";"....Bosna in Hercegovina";"20-24";544
"2013";"Tuji državljani";"....Bosna in Hercegovina";"25-29";683
"2013";"Tuji državljani";"....Bosna in Hercegovina";"30-34";499
"2013";"Tuji državljani";"....Bosna in Hercegovina";"35-39";401
"2013";"Tuji državljani";"....Bosna in Hercegovina";"40-44";276
"2013";"Tuji državljani";"....Bosna in Hercegovina";"45-49";250
"2013";"Tuji državljani";"....Bosna in Hercegovina";"50-54";177
"2013";"Tuji državljani";"....Bosna in Hercegovina";"55-59";74
"2013";"Tuji državljani";"....Bosna in Hercegovina";"60-64";25
"2013";"Tuji državljani";"....Bosna in Hercegovina";"65 +";30
"2013";"Tuji državljani";"....Èrna gora";"0-14";3
"2013";"Tuji državljani";"....Èrna gora";"15-19";6
"2013";"Tuji državljani";"....Èrna gora";"20-24";17
"2013";"Tuji državljani";"....Èrna gora";"25-29";14
"2013";"Tuji državljani";"....Èrna gora";"30-34";9
"2013";"Tuji državljani";"....Èrna gora";"35-39";11
"2013";"Tuji državljani";"....Èrna gora";"40-44";2
"2013";"Tuji državljani";"....Èrna gora";"45-49";5
"2013";"Tuji državljani";"....Èrna gora";"50-54";3
"2013";"Tuji državljani";"....Èrna gora";"55-59";1
"2013";"Tuji državljani";"....Èrna gora";"60-64";0
"2013";"Tuji državljani";"....Èrna gora";"65 +";3
"2013";"Tuji državljani";"....Kosovo";"0-14";346
"2013";"Tuji državljani";"....Kosovo";"15-19";143
"2013";"Tuji državljani";"....Kosovo";"20-24";184
"2013";"Tuji državljani";"....Kosovo";"25-29";193
"2013";"Tuji državljani";"....Kosovo";"30-34";134
"2013";"Tuji državljani";"....Kosovo";"35-39";96
"2013";"Tuji državljani";"....Kosovo";"40-44";91
"2013";"Tuji državljani";"....Kosovo";"45-49";66
"2013";"Tuji državljani";"....Kosovo";"50-54";26
"2013";"Tuji državljani";"....Kosovo";"55-59";9
"2013";"Tuji državljani";"....Kosovo";"60-64";4
"2013";"Tuji državljani";"....Kosovo";"65 +";11
"2013";"Tuji državljani";"....Severna Makedonija";"0-14";152
"2013";"Tuji državljani";"....Severna Makedonija";"15-19";80
"2013";"Tuji državljani";"....Severna Makedonija";"20-24";205
"2013";"Tuji državljani";"....Severna Makedonija";"25-29";142
"2013";"Tuji državljani";"....Severna Makedonija";"30-34";91
"2013";"Tuji državljani";"....Severna Makedonija";"35-39";77
"2013";"Tuji državljani";"....Severna Makedonija";"40-44";49
"2013";"Tuji državljani";"....Severna Makedonija";"45-49";63
"2013";"Tuji državljani";"....Severna Makedonija";"50-54";39
"2013";"Tuji državljani";"....Severna Makedonija";"55-59";16
"2013";"Tuji državljani";"....Severna Makedonija";"60-64";6
"2013";"Tuji državljani";"....Severna Makedonija";"65 +";10
"2013";"Tuji državljani";"....Srbija";"0-14";117
"2013";"Tuji državljani";"....Srbija";"15-19";53
"2013";"Tuji državljani";"....Srbija";"20-24";101
"2013";"Tuji državljani";"....Srbija";"25-29";192
"2013";"Tuji državljani";"....Srbija";"30-34";209
"2013";"Tuji državljani";"....Srbija";"35-39";172
"2013";"Tuji državljani";"....Srbija";"40-44";114
"2013";"Tuji državljani";"....Srbija";"45-49";107
"2013";"Tuji državljani";"....Srbija";"50-54";79
"2013";"Tuji državljani";"....Srbija";"55-59";41
"2013";"Tuji državljani";"....Srbija";"60-64";18
"2013";"Tuji državljani";"....Srbija";"65 +";12
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"0-14";144
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"15-19";31
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"20-24";161
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"25-29";285
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"30-34";238
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"35-39";241
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"40-44";255
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"45-49";207
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"50-54";136
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"55-59";76
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"60-64";92
"2013";"Tuji državljani";" - Države EU - SKUPAJ";"65 +";119
"2013";"Tuji državljani";"....Avstrija";"0-14";3
"2013";"Tuji državljani";"....Avstrija";"15-19";1
"2013";"Tuji državljani";"....Avstrija";"20-24";3
"2013";"Tuji državljani";"....Avstrija";"25-29";7
"2013";"Tuji državljani";"....Avstrija";"30-34";4
"2013";"Tuji državljani";"....Avstrija";"35-39";9
"2013";"Tuji državljani";"....Avstrija";"40-44";9
"2013";"Tuji državljani";"....Avstrija";"45-49";7
"2013";"Tuji državljani";"....Avstrija";"50-54";3
"2013";"Tuji državljani";"....Avstrija";"55-59";3
"2013";"Tuji državljani";"....Avstrija";"60-64";8
"2013";"Tuji državljani";"....Avstrija";"65 +";11
"2013";"Tuji državljani";"....Belgija";"0-14";2
"2013";"Tuji državljani";"....Belgija";"15-19";0
"2013";"Tuji državljani";"....Belgija";"20-24";0
"2013";"Tuji državljani";"....Belgija";"25-29";0
"2013";"Tuji državljani";"....Belgija";"30-34";0
"2013";"Tuji državljani";"....Belgija";"35-39";0
"2013";"Tuji državljani";"....Belgija";"40-44";2
"2013";"Tuji državljani";"....Belgija";"45-49";2
"2013";"Tuji državljani";"....Belgija";"50-54";1
"2013";"Tuji državljani";"....Belgija";"55-59";1
"2013";"Tuji državljani";"....Belgija";"60-64";2
"2013";"Tuji državljani";"....Belgija";"65 +";1
"2013";"Tuji državljani";"....Bolgarija";"0-14";32
"2013";"Tuji državljani";"....Bolgarija";"15-19";10
"2013";"Tuji državljani";"....Bolgarija";"20-24";69
"2013";"Tuji državljani";"....Bolgarija";"25-29";102
"2013";"Tuji državljani";"....Bolgarija";"30-34";81
"2013";"Tuji državljani";"....Bolgarija";"35-39";66
"2013";"Tuji državljani";"....Bolgarija";"40-44";84
"2013";"Tuji državljani";"....Bolgarija";"45-49";77
"2013";"Tuji državljani";"....Bolgarija";"50-54";30
"2013";"Tuji državljani";"....Bolgarija";"55-59";13
"2013";"Tuji državljani";"....Bolgarija";"60-64";10
"2013";"Tuji državljani";"....Bolgarija";"65 +";1
"2013";"Tuji državljani";"....Hrvaška";"0-14";33
"2013";"Tuji državljani";"....Hrvaška";"15-19";42
"2013";"Tuji državljani";"....Hrvaška";"20-24";207
"2013";"Tuji državljani";"....Hrvaška";"25-29";183
"2013";"Tuji državljani";"....Hrvaška";"30-34";163
"2013";"Tuji državljani";"....Hrvaška";"35-39";119
"2013";"Tuji državljani";"....Hrvaška";"40-44";89
"2013";"Tuji državljani";"....Hrvaška";"45-49";86
"2013";"Tuji državljani";"....Hrvaška";"50-54";80
"2013";"Tuji državljani";"....Hrvaška";"55-59";62
"2013";"Tuji državljani";"....Hrvaška";"60-64";17
"2013";"Tuji državljani";"....Hrvaška";"65 +";48
"2013";"Tuji državljani";"....Italija";"0-14";48
"2013";"Tuji državljani";"....Italija";"15-19";8
"2013";"Tuji državljani";"....Italija";"20-24";24
"2013";"Tuji državljani";"....Italija";"25-29";26
"2013";"Tuji državljani";"....Italija";"30-34";29
"2013";"Tuji državljani";"....Italija";"35-39";56
"2013";"Tuji državljani";"....Italija";"40-44";59
"2013";"Tuji državljani";"....Italija";"45-49";51
"2013";"Tuji državljani";"....Italija";"50-54";41
"2013";"Tuji državljani";"....Italija";"55-59";28
"2013";"Tuji državljani";"....Italija";"60-64";27
"2013";"Tuji državljani";"....Italija";"65 +";43
"2013";"Tuji državljani";"....Nemèija";"0-14";2
"2013";"Tuji državljani";"....Nemèija";"15-19";1
"2013";"Tuji državljani";"....Nemèija";"20-24";6
"2013";"Tuji državljani";"....Nemèija";"25-29";10
"2013";"Tuji državljani";"....Nemèija";"30-34";12
"2013";"Tuji državljani";"....Nemèija";"35-39";11
"2013";"Tuji državljani";"....Nemèija";"40-44";16
"2013";"Tuji državljani";"....Nemèija";"45-49";10
"2013";"Tuji državljani";"....Nemèija";"50-54";8
"2013";"Tuji državljani";"....Nemèija";"55-59";6
"2013";"Tuji državljani";"....Nemèija";"60-64";19
"2013";"Tuji državljani";"....Nemèija";"65 +";43
"2013";"Tuji državljani";"....Slovaška";"0-14";7
"2013";"Tuji državljani";"....Slovaška";"15-19";5
"2013";"Tuji državljani";"....Slovaška";"20-24";20
"2013";"Tuji državljani";"....Slovaška";"25-29";31
"2013";"Tuji državljani";"....Slovaška";"30-34";21
"2013";"Tuji državljani";"....Slovaška";"35-39";19
"2013";"Tuji državljani";"....Slovaška";"40-44";7
"2013";"Tuji državljani";"....Slovaška";"45-49";12
"2013";"Tuji državljani";"....Slovaška";"50-54";12
"2013";"Tuji državljani";"....Slovaška";"55-59";2
"2013";"Tuji državljani";"....Slovaška";"60-64";0
"2013";"Tuji državljani";"....Slovaška";"65 +";1
"2013";"Tuji državljani";"....Združeno kraljestvo";"0-14";2
"2013";"Tuji državljani";"....Združeno kraljestvo";"15-19";1
"2013";"Tuji državljani";"....Združeno kraljestvo";"20-24";1
"2013";"Tuji državljani";"....Združeno kraljestvo";"25-29";2
"2013";"Tuji državljani";"....Združeno kraljestvo";"30-34";8
"2013";"Tuji državljani";"....Združeno kraljestvo";"35-39";6
"2013";"Tuji državljani";"....Združeno kraljestvo";"40-44";7
"2013";"Tuji državljani";"....Združeno kraljestvo";"45-49";8
"2013";"Tuji državljani";"....Združeno kraljestvo";"50-54";4
"2013";"Tuji državljani";"....Združeno kraljestvo";"55-59";5
"2013";"Tuji državljani";"....Združeno kraljestvo";"60-64";12
"2013";"Tuji državljani";"....Združeno kraljestvo";"65 +";6
"2013";"Tuji državljani";"....ostale države èlanice EU";"0-14";48
"2013";"Tuji državljani";"....ostale države èlanice EU";"15-19";5
"2013";"Tuji državljani";"....ostale države èlanice EU";"20-24";38
"2013";"Tuji državljani";"....ostale države èlanice EU";"25-29";107
"2013";"Tuji državljani";"....ostale države èlanice EU";"30-34";83
"2013";"Tuji državljani";"....ostale države èlanice EU";"35-39";74
"2013";"Tuji državljani";"....ostale države èlanice EU";"40-44";71
"2013";"Tuji državljani";"....ostale države èlanice EU";"45-49";40
"2013";"Tuji državljani";"....ostale države èlanice EU";"50-54";37
"2013";"Tuji državljani";"....ostale države èlanice EU";"55-59";18
"2013";"Tuji državljani";"....ostale države èlanice EU";"60-64";14
"2013";"Tuji državljani";"....ostale države èlanice EU";"65 +";13
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"0-14";105
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"15-19";26
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"20-24";35
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"25-29";59
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"30-34";76
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"35-39";61
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"40-44";70
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"45-49";63
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"50-54";37
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"55-59";19
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"60-64";16
"2013";"Tuji državljani";"- Druge evropske države - SKUPAJ";"65 +";11
"2013";"Tuji državljani";"....Ruska federacija";"0-14";68
"2013";"Tuji državljani";"....Ruska federacija";"15-19";9
"2013";"Tuji državljani";"....Ruska federacija";"20-24";13
"2013";"Tuji državljani";"....Ruska federacija";"25-29";28
"2013";"Tuji državljani";"....Ruska federacija";"30-34";38
"2013";"Tuji državljani";"....Ruska federacija";"35-39";37
"2013";"Tuji državljani";"....Ruska federacija";"40-44";48
"2013";"Tuji državljani";"....Ruska federacija";"45-49";46
"2013";"Tuji državljani";"....Ruska federacija";"50-54";19
"2013";"Tuji državljani";"....Ruska federacija";"55-59";15
"2013";"Tuji državljani";"....Ruska federacija";"60-64";13
"2013";"Tuji državljani";"....Ruska federacija";"65 +";2
"2013";"Tuji državljani";"....Švica";"0-14";0
"2013";"Tuji državljani";"....Švica";"15-19";0
"2013";"Tuji državljani";"....Švica";"20-24";0
"2013";"Tuji državljani";"....Švica";"25-29";0
"2013";"Tuji državljani";"....Švica";"30-34";0
"2013";"Tuji državljani";"....Švica";"35-39";0
"2013";"Tuji državljani";"....Švica";"40-44";1
"2013";"Tuji državljani";"....Švica";"45-49";0
"2013";"Tuji državljani";"....Švica";"50-54";3
"2013";"Tuji državljani";"....Švica";"55-59";0
"2013";"Tuji državljani";"....Švica";"60-64";1
"2013";"Tuji državljani";"....Švica";"65 +";5
"2013";"Tuji državljani";"....Ukrajina";"0-14";30
"2013";"Tuji državljani";"....Ukrajina";"15-19";13
"2013";"Tuji državljani";"....Ukrajina";"20-24";17
"2013";"Tuji državljani";"....Ukrajina";"25-29";19
"2013";"Tuji državljani";"....Ukrajina";"30-34";33
"2013";"Tuji državljani";"....Ukrajina";"35-39";19
"2013";"Tuji državljani";"....Ukrajina";"40-44";16
"2013";"Tuji državljani";"....Ukrajina";"45-49";14
"2013";"Tuji državljani";"....Ukrajina";"50-54";13
"2013";"Tuji državljani";"....Ukrajina";"55-59";3
"2013";"Tuji državljani";"....Ukrajina";"60-64";2
"2013";"Tuji državljani";"....Ukrajina";"65 +";3
"2013";"Tuji državljani";"....ostale evropske države";"0-14";7
"2013";"Tuji državljani";"....ostale evropske države";"15-19";4
"2013";"Tuji državljani";"....ostale evropske države";"20-24";5
"2013";"Tuji državljani";"....ostale evropske države";"25-29";12
"2013";"Tuji državljani";"....ostale evropske države";"30-34";5
"2013";"Tuji državljani";"....ostale evropske države";"35-39";5
"2013";"Tuji državljani";"....ostale evropske države";"40-44";5
"2013";"Tuji državljani";"....ostale evropske države";"45-49";3
"2013";"Tuji državljani";"....ostale evropske države";"50-54";2
"2013";"Tuji državljani";"....ostale evropske države";"55-59";1
"2013";"Tuji državljani";"....ostale evropske države";"60-64";0
"2013";"Tuji državljani";"....ostale evropske države";"65 +";1
"2013";"Tuji državljani";"AFRIKA";"0-14";5
"2013";"Tuji državljani";"AFRIKA";"15-19";2
"2013";"Tuji državljani";"AFRIKA";"20-24";7
"2013";"Tuji državljani";"AFRIKA";"25-29";14
"2013";"Tuji državljani";"AFRIKA";"30-34";16
"2013";"Tuji državljani";"AFRIKA";"35-39";8
"2013";"Tuji državljani";"AFRIKA";"40-44";8
"2013";"Tuji državljani";"AFRIKA";"45-49";1
"2013";"Tuji državljani";"AFRIKA";"50-54";1
"2013";"Tuji državljani";"AFRIKA";"55-59";1
"2013";"Tuji državljani";"AFRIKA";"60-64";1
"2013";"Tuji državljani";"AFRIKA";"65 +";0
"2013";"Tuji državljani";"AZIJA";"0-14";29
"2013";"Tuji državljani";"AZIJA";"15-19";20
"2013";"Tuji državljani";"AZIJA";"20-24";38
"2013";"Tuji državljani";"AZIJA";"25-29";69
"2013";"Tuji državljani";"AZIJA";"30-34";54
"2013";"Tuji državljani";"AZIJA";"35-39";36
"2013";"Tuji državljani";"AZIJA";"40-44";29
"2013";"Tuji državljani";"AZIJA";"45-49";12
"2013";"Tuji državljani";"AZIJA";"50-54";2
"2013";"Tuji državljani";"AZIJA";"55-59";4
"2013";"Tuji državljani";"AZIJA";"60-64";1
"2013";"Tuji državljani";"AZIJA";"65 +";2
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"0-14";23
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"15-19";4
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"20-24";14
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"25-29";19
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"30-34";22
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"35-39";17
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"40-44";7
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"45-49";3
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"50-54";2
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"55-59";4
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"60-64";7
"2013";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"65 +";5
"2013";"Tuji državljani";"JUŽNA AMERIKA";"0-14";6
"2013";"Tuji državljani";"JUŽNA AMERIKA";"15-19";1
"2013";"Tuji državljani";"JUŽNA AMERIKA";"20-24";3
"2013";"Tuji državljani";"JUŽNA AMERIKA";"25-29";16
"2013";"Tuji državljani";"JUŽNA AMERIKA";"30-34";4
"2013";"Tuji državljani";"JUŽNA AMERIKA";"35-39";7
"2013";"Tuji državljani";"JUŽNA AMERIKA";"40-44";4
"2013";"Tuji državljani";"JUŽNA AMERIKA";"45-49";2
"2013";"Tuji državljani";"JUŽNA AMERIKA";"50-54";0
"2013";"Tuji državljani";"JUŽNA AMERIKA";"55-59";0
"2013";"Tuji državljani";"JUŽNA AMERIKA";"60-64";0
"2013";"Tuji državljani";"JUŽNA AMERIKA";"65 +";0
"2013";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"0-14";2
"2013";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"15-19";0
"2013";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"20-24";0
