"Povpre?ne mese?ne pla?e [EUR], Slovenija, mese?no"

"MESEC";"PLA?E";Povpre?ne mese?ne pla?e [EUR]
"2009M12";"Bruto pla?a";1488,19
"2009M11";"Bruto pla?a";1570,53
"2009M10";"Bruto pla?a";1448,13
"2009M09";"Bruto pla?a";1433,93
"2009M08";"Bruto pla?a";1415,08
"2009M07";"Bruto pla?a";1424,23
"2009M06";"Bruto pla?a";1429,12
"2009M05";"Bruto pla?a";1415,38
"2009M04";"Bruto pla?a";1423,19
"2009M03";"Bruto pla?a";1425,05
"2009M02";"Bruto pla?a";1381,87
"2009M01";"Bruto pla?a";1416,40
"2008M12";"Bruto pla?a";1457,66
"2008M11";"Bruto pla?a";1550,29
"2008M10";"Bruto pla?a";1424,08
"2008M09";"Bruto pla?a";1400,21
"2008M08";"Bruto pla?a";1405,00
"2008M07";"Bruto pla?a";1372,46
"2008M06";"Bruto pla?a";1364,53
"2008M05";"Bruto pla?a";1360,20
"2008M04";"Bruto pla?a";1354,42
"2008M03";"Bruto pla?a";1352,87
"2008M02";"Bruto pla?a";1325,73
"2008M01";"Bruto pla?a";1326,19
"2007M12";"Bruto pla?a";1342,80
"2007M11";"Bruto pla?a";1491,65
"2007M10";"Bruto pla?a";1303,92
"2007M09";"Bruto pla?a";1259,07
"2007M08";"Bruto pla?a";1279,40
"2007M07";"Bruto pla?a";1262,95
"2007M06";"Bruto pla?a";1254,36
"2007M05";"Bruto pla?a";1263,57
"2007M04";"Bruto pla?a";1237,42
"2007M03";"Bruto pla?a";1252,12
"2007M02";"Bruto pla?a";1212,82
"2007M01";"Bruto pla?a";1250,34
