"Razpoložljivi dohodek gospodinjstev (EUR), statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2011";"Dohodek po socialnih transferjih";8273
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2012";"Dohodek po socialnih transferjih";8492
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2013";"Dohodek po socialnih transferjih";8227
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2014";"Dohodek po socialnih transferjih";8215
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2015";"Dohodek po socialnih transferjih";8405
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2016";"Dohodek po socialnih transferjih";8394
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2017";"Dohodek po socialnih transferjih";8635
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2018";"Dohodek po socialnih transferjih";9170
"Povpreèni dohodek na èlana gospodinjstva";"Zasavska";"2019";"Dohodek po socialnih transferjih";9834
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2008";"Dohodek po socialnih transferjih";6567
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2009";"Dohodek po socialnih transferjih";7258
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2010";"Dohodek po socialnih transferjih";7537
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2011";"Dohodek po socialnih transferjih";8002
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2012";"Dohodek po socialnih transferjih";8020
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2013";"Dohodek po socialnih transferjih";7323
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2014";"Dohodek po socialnih transferjih";7916
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2015";"Dohodek po socialnih transferjih";7787
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2016";"Dohodek po socialnih transferjih";7910
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2017";"Dohodek po socialnih transferjih";8360
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2018";"Dohodek po socialnih transferjih";8934
"Povpreèni dohodek na èlana gospodinjstva";"Posavska";"2019";"Dohodek po socialnih transferjih";9530
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2008";"Dohodek po socialnih transferjih";6933
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2009";"Dohodek po socialnih transferjih";7630
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2010";"Dohodek po socialnih transferjih";7883
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2011";"Dohodek po socialnih transferjih";7933
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2012";"Dohodek po socialnih transferjih";8124
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2013";"Dohodek po socialnih transferjih";7793
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2014";"Dohodek po socialnih transferjih";8091
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2015";"Dohodek po socialnih transferjih";8601
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2016";"Dohodek po socialnih transferjih";8606
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2017";"Dohodek po socialnih transferjih";8880
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2018";"Dohodek po socialnih transferjih";9417
"Povpreèni dohodek na èlana gospodinjstva";"Jugovzhodna Slovenija";"2019";"Dohodek po socialnih transferjih";9968
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2008";"Dohodek po socialnih transferjih";8452
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2009";"Dohodek po socialnih transferjih";9108
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2010";"Dohodek po socialnih transferjih";9351
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2011";"Dohodek po socialnih transferjih";9544
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2012";"Dohodek po socialnih transferjih";9440
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2013";"Dohodek po socialnih transferjih";9347
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2014";"Dohodek po socialnih transferjih";9377
